File:,D:\04.Project\13.고성능차량하중이동제어\04.Logic\JSNDCT_CorneringLogicAdded\TuningTool\JSNDCT_Cornering.spm
Project:,
System:,
User:,
Vehicle:,
Vehicle Type:,
Date Time:,
Comment:,

Recording Time:,2020-08-26 수 AM 11:09:39 ~ 2020-08-26 수 AM 11:11:43
Save Time:,0.000 ~ 123.550 sec

,[FLAG],[VALUE],1.leu8VehicleSpd,2.lou8FlagRoll,3.ldu8FlagDive,4.lsu8FlagAdSquat,5.lsu8FlagDecAdSquat,6.lsu8FlagNoseDwAdSquat,7.lnu8FlagTurn,8.lcu8FlagCornering,9.lcs8DfCornering[0],10.lis8DfOffset[0],11.lcs8DfCornering[1],12.lcs8DfCornering[2],13.lcs8DfCornering[3],14.lis8DfOffset[1],15.lis8DfOffset[2],16.lis8DfOffset[3]
Time,[BIT],[CH],4000331D,40003135,40002922,4000324E,40003254,4000323D,40003404,40003562,4000355C,40002A90,4000355D,4000355E,4000355F,40002A91,40002A92,40002A93
0.000,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.400,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.420,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.440,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.460,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.490,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.500,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.510,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.520,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.540,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.550,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.560,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.570,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.590,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.610,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.620,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.630,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.640,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.650,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.660,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.670,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.680,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.690,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.700,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.710,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.720,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.730,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.740,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.750,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.780,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.810,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.840,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
